"","id","round","trial","action","potato"
"936",2,5,36,"up",0
"937",2,5,37,"up",1
"938",2,5,38,"up",1
"939",2,5,39,"up",1
"940",2,5,40,"up",0
"941",2,5,41,"up",0
"942",2,5,42,"up",0
"943",2,5,43,"up",0
"944",2,5,44,"up",0
"945",2,5,45,"up",1
"946",2,5,46,"up",1
"947",2,5,47,"up",0
"948",2,5,48,"up",1
"949",2,5,49,"up",0
"950",2,5,50,"up",1
"951",2,5,51,"up",0
"952",2,5,52,"up",1
"953",2,5,53,"up",0
"954",2,5,54,"up",0
"955",2,5,55,"up",0
"956",2,5,56,"up",0
"957",2,5,57,"up",0
"958",2,5,58,"up",1
"959",2,5,59,"down",0
"960",2,5,60,"up",0
"961",2,5,61,"up",1
"962",2,5,62,"up",0
"963",2,5,63,"up",1
"964",2,5,64,"up",1
"965",2,5,65,"up",1
"966",2,5,66,"up",0
"967",2,5,67,"up",0
"968",2,5,68,"up",1
"969",2,5,69,"up",1
"970",2,5,70,"up",1
"971",2,5,71,"up",1
"972",2,5,72,"up",0
"973",2,5,73,"up",0
"974",2,5,74,"up",0
"975",2,5,75,"up",1
"976",2,5,76,"up",1
"977",2,5,77,"up",1
"978",2,5,78,"up",1
"979",2,5,79,"up",0
"980",2,5,80,"up",1
"981",2,5,81,"up",1
"982",2,5,82,"up",1
"983",2,5,83,"up",0
"984",2,5,84,"up",1
"985",2,5,85,"up",0
"986",2,5,86,"up",0
"987",2,5,87,"up",1
"988",2,5,88,"up",1
"989",2,5,89,"up",1
"990",2,5,90,"up",1
"991",2,5,91,"up",0
"992",2,5,92,"up",1
"993",2,5,93,"up",0
"994",2,5,94,"up",1
